q_id	question_text	answer1	answer2	answer1_label
pem5p5	how spiders produce webs<br />What are webs made out of and what do spiders convert in their bodies to produce the web substance? It seems like they produce so much web for the size of their bodies.	Webs are made out of a protein called silk. Spiders convert the protein into a liquid form in their bodies and then secrete it through their spinnerets. The liquid silk hardens when it comes into contact with the air, forming the web.<br /><br />Spiders can produce a lot of silk because they have a high concentration of the protein in their bodies. They also have special organs called spinnerets that are specifically designed for secreting the silk.	They have organs called spinnerets on their underside or rear. Each species of spider has a varying number of them, but usually they're in a cluster. On the end of each spinneret is a little nozzle-like spigot out of which a single silk thread comes (the silk is liquid when it's inside).<br />There are seven different kinds of silk gland which produce a slightly different kind of silk. No known species of spider has all of them.<br />The silk is pulled out of the spinneret by either gravity or one of their hind legs, and they then arrange it in a pattern of activity that differs greatly by species.	HMM[8]
rob2j6	why we can't taste things when we have a stuffy nose, even though our taste buds still work?<br />	When we have a stuffy nose, the air flow to our olfactory bulb is blocked. This is the part of the brain responsible for our sense of smell. Without the olfactory bulb, we are unable to smell the molecules that we need to taste food.	You can only taste, with your tongue, a very small number of flavours.  Like half a dozen.<br />What you think of as taste is actually almost entirely smell.  We can detect millions of different smells.  When you have a stuffed nose you can't smell properly and so food "tastes" bland.	HMM[6]
oy2hz4	Does your body absorb all blood clots? How does it do it? Does location affect it?<br />	Kind of. Your blood will dissolve clots over time. I've got a clotting disorder and need to take thinners to make that happen faster, but for most they break down clots naturally settlement on how much blood flow there is to an area and if there's any muscle action to help break them up. They can be dangerous though when breaking up as the can travel to your heart, lungs or brain and cause death by blocking blood flow.	No, your body does not absorb all blood clots. Clots are usually broken down by the body's natural clotting mechanism, but some clots may persist and cause problems. Location can affect how quickly a clot is broken down. For example, clots in the veins are usually broken down more slowly than clots in the arteries.	HMH[5]
ql37ad	why do we as humans have the urge to pick scabs so much?<br />	As the skin regrows and starts filling out, the scab that formed does not grow with it, therefore causing irritation and pulling sensation that can only be gotten rid of by removing the scab so skin can fill out normally without the restraints of a scab. Vanity is also a large driver in wanting or needing to remove a scab. The above mentioned is really quite normal. <br />Skin picking really only becomes a problem when it causes significant disruptions in one's every day life.<br /> Dermatillomania is a form of obsessive compulsion disorder where a person will feel the compulsion to pick at their skin. <br />Body dysmorphic disorder can also cause a person to feel the compulsion to pick at their skin. <br />With both dermatillomania and body dysmorphic disorder a person's life is often disrupted by a large scale due to these compulsions.	I got news for ya. It isn't limited to humans. Hence, why we give our pets the "cone of shame". They fuck with their wounds too!	HHH[51][17]
oslh5t	why do we have goosebumps ? i know it's because of cold/fear, but why does our body do that ?<br />	I think it’s one of those ancestral features we still have to these days. Think of those mammals who use fur to get bigger in order to scary predators or fluffier to get warmer in cold weather. That’s goosebumps basically!	It's a reaction that puffs up our body hair to trap more air to keep us warm or make us look bigger. Humans lost our fur, but not the reaction. Hope this helps	HHh[5][10]
ro9zsh	What is happening when you get migraines that cause you to lose part of your vision for a short time?<br />	When you get migraines that cause you to lose part of your vision for a short time, you are experiencing a migraine with aura. Auras are visual disturbances that can occur before or during a migraine. They typically last for less than an hour and can include seeing flashes of light, zig-zag lines, or blind spots. Some people also experience other aura symptoms, such as changes in smell, taste, or touch.	My wife gets these.<br />An ocular migraine is a condition where the blood vessels in the optic nerve at the back of your eye tighten and swell, resulting in various visual distortions. While classic migraines  usually result in intense headaches, sensitivity to light and loud sounds, or nausea, ocular migraines are not necessarily painful.	HMM[96]
qjiqfr	Why do older black tattoos look blue?<br />Why do black tattoos look navy blue after a few years?<br />I’ve got a few that are looking a lot more blue than black now they’re a few years old. I know age and being in the sun a lot changes tattoos colour but I’ve always been super careful with tattoo specific sun screen when I’m outside. <br />I understand tattoos can “spread” over time but my other coloured tattoos still are the original colour, whereas the black mostly looks dark blue now.<br />Why is it that black “fades” so fast?	If I recall it's because they used "India Ink" for most tattoos, I'm not very familiar with it but if you search online I'm sure you can find a more detailed explanation.<br />Edit: Quote from an article I found after searching google for 10 seconds: some Indian inks have been known to turn a grey, blue or green color while fading too making your tattoo look even worse."	There are a few reasons why older black tattoos may look blue. First, as tattoos age, the ink can spread and become thinner, making the colors appear less saturated. Second, exposure to sunlight can cause tattoo ink to fade, and black ink is particularly susceptible to this. Finally, some inks contain pigments that are not very stable and can break down over time, resulting in a change in color.	HMH[7]
of1qmt	If under anesthesia do you get your sleep needed for the day?<br />	No. The unconsciousness induced by both IV anesthetics and inhaled anesthetics is very different from restorative sleep. In fact, patients in ICUs who are sedated for long periods of time with some of the same medications they use in anesthesia get delirium from both a lack of sleep and a lack of proper awake time. <br />This is also true for prescription benzodiazepines like Ativan (lorazepam) and Xanax (alprazolam) which are often prescribed for insomnia but do not produce true sleep. <br />There is an IV sedative called Dexmedetomodine (precedex) that produces an unconsciousness more similar to sleep and has been shown to reduce the risk of ICU delirium vs more common medications like propofol. It is also used as an adjunct in anesthetic practice. But it is not nearly as prominent as propofol or inhaled anesthetics for a few reasons. First, it takes longer to work so after a dose you have to wait 15-30min for it to take effect (propofol is within a minute or so) and it lasts longer once it is stopped. Additionally, up until recently it was on patent and quite expensive. The patent recently expired and it is seeing increased use but I doubt it will ever become as popular as propofol.  <br />EDIT: Precedex also isn't a full anesthetic in standard practice so for surgery under general anesthesia it still needs to be used with another medicine like propofol or anesthesia gas.  Thanks u/bluejay54 for the reminder.  <br />True ELI5: Sleep = charging your phone on airplane mode. Anesthesia = turning your phone off but not charging it. credit to u/greatpiginthesty<br />I am an ICU RN and am starting anesthesia training soon.	There is no clear consensus on whether or not people under anesthesia get the sleep they need for the day. Some studies suggest that people under anesthesia do get some sleep, but it is not clear how deep or restful this sleep is. Other studies suggest that people under anesthesia do not get any meaningful sleep at all. Therefore, it is difficult to say definitively whether or not people under anesthesia get the sleep they need for the day.	HMH[928]
p8upbj	Why dental tartar is so hard and bounds to teeth like glue? It's like a secondary tooth made of bacterias.<br />	I brush twice a day, waterpik nightly and visit dentist every 6 months. I still get tartar build up. Now here is my question, I have receding gums (already has surgery to help mitigate), why can tartar stick to teeth but they can't come up with something to coat my teeth below the gumline to protect them. <br />Dentistry is amazing in what they can do but this seems like a fairly simple thing to fix seeing that they can whiten, lighten, root canal, and laminate my pearly whites.	Dental tartar is hard because it is made up of minerals that have been deposited on the teeth. These minerals are mostly calcium phosphate and calcium carbonate, which are very hard. The bacteria in dental tartar also contribute to its hardness, as they produce a sticky substance that binds the tartar to the teeth.	HMH[6]
ocxgex	How are sperms made in the body?<br />More specifically, how does a Sperm become X or Y sperm.	Not going too much into the scientificy details, mainly because I don't remember them from high school  2 decades ago, but basically the cell division that occurs to form the reproductive cells (sperm/eggs) in humans is not the same as the cell division for none reproductive cells. <br />When the "normal" cells split, they create complete copies of each chromosome pair (your DNA is made of pairs of each chromosome. One comes from the father, one from the mother), so the child cells end up with a complete set of DNA. <br />Reproductive cells split the chromosome pairs. The child cells only receive one chromosome from each pair. In the case of the sex chromosome pair, a male has an XY pair and a female has an XX pair. So when a male creates reproductive cells (sperm), one sperm will receive the X chromosome and the other will have the Y chromosome.	When most cells divide, they copy themselves once then split once, so both copied cells have X *and* Y. Sperm basically come from 1 copy but 2 splits, so you get one X sperm and one Y sperm from the second split.	HHH[4][0]
