q_id	question_text	answer1	answer2	deu_link
pxlo5f	why do some liquids turn into solid when heated? In school we learn that things go from liquid to gas when they reach certain temperature. But things like eggs and other things we cook actually go from liquid to solid. Why/how?	Some liquids turn into solid when heated because of a process called phase transition. A phase transition is a change in the physical state of a substance. For example, water can exist in three different states: solid (ice), liquid, and gas (vapor). The phase transition from liquid to solid is called freezing, and the phase transition from solid to liquid is called melting.   Some substances can exist in more than one solid state. For example, carbon can exist as two different solids: graphite and diamond. The phase transition from one solid state to the other is called polymorphism.   Polymorphism is a type of phase transition in which a substance changes from one solid state to another. The two solid states have different arrangements of atoms. The atoms in the two different solid states are held together by different kinds of forces.   The phase transition from liquid to solid is called freezing. The temperature at which a liquid freezes is called the freezing point. The freezing point is the temperature at which the molecules of a substance have enough energy to overcome the forces that are holding them together in the liquid state.   The freezing point of a substance depends on the kind of forces that are holding the molecules together. For example, the freezing point of water is lower than the freezing point of alcohol. This is because the forces that are holding the molecules of water together are weaker than the forces that are holding the molecules of alcohol together.   The phase transition from solid to liquid is called melting. The temperature at which a solid melts is called the melting point. The melting point is the temperature at which the molecules of a substance have enough energy to overcome the forces that are holding them together in the solid state.   The melting point of a substance also depends on the kind of forces that are holding the molecules together. For example, the melting point of diamond is much higher than the melting point of graphite. This is because the forces that are holding the molecules of diamond together are much stronger than the forces that are holding the molecules of graphite together.	The answers already given are good, but I think the point where you may be getting confused is that vaporization and melting points (the point where a liquid goes to a gas, or a solid goes to a liquid respectively) only apply to pure substances, though they do generally go cooler = solid and hotter = gas with liquid in between. Eggs are not a pure substance, because as mentioned already they are water plus protein plus salts plus fats etc. which all react a little differently to being heated. A visual representation of a substance’s phase changes (liquid/solid/gas) and the energy required to achieve them is called a phase diagram. It is technically possible to create one for a mixture of multiple different types of molecule, but the concentrations are necessary so you would have to know a lot about that egg to construct one.	HMM[5]
otx1i8	does boiling water work as efficiently to put out a fire as cold water or even room temp water? Or does the molecular structure change in a certain way once heated, and in turn can steam put out a fire.	To answer your second question, steam is great for putting out fires. A small amount of water will turn into a great deal of steam, which removes one of the four things a fire needs (heat, fuel, oxygen, and the chemical reaction). Firefighters routinely use short bursts of water to create steam to knock down a fire. Firefighters are careful, though, because making too much steam tends to hurt humans - steam goes through bunker gear.	Despite what others say it would obviously qork a little worse but still work. Its still cutting off oxygen, and sure its taking some heat away but for the most part boiling water is only taking out one leg of fire triangle rather than two. (Heat, Fuel, Oxygen)	HHH[4][1]
pjcqp1	Why do you have to eat sliced deli meat in 7 days but it can sit in the glass counter for who knows how long? 	It doesn't. The store only unwraps each loaf as it is needed. And only carries products it knows it will turn over.  In a busy store several loaves of popular meats will be used each day. They are used up much more quickly than the slices you take home.	Sliced deli meats are typically high in sodium and other preservatives, which allow them to have a long shelf life. However, these preservatives can also make the meat less healthy for you if you consume too much of them. For this reason, it is generally recommended that you eat sliced deli meat within 7 days of buying it.	HMH[20]
oxrnxy	How is iron black, yet steel light grey? 	Grey cast iron is almost black on the outside because of the slag (surface impurities) that cling when they are cast. When you machine it, it is a dark grey.    There is also white cast iron, where iron and carbon form iron carbides, which give is a whitish colour.   Steel can be dark grey to silvery, depending on what is alloyed into it. High Speed Steel is silvery when surface machined, but when it breaks (it is quite brittle) it is also dark grey.	Iron and typical iron alloys like steel and cast iron are silvery grey.  Higher carbon alloys like cast iron tend to be lighter coloured than those without much carbon like wrought iron with steel being in the middle. However, iron and its alloys react with oxygen to form  rust.  Iron gets bigger when it becomes rust, which causes the rust to flake off exposing more iron to oxygen so it can rust.  Obviously, we don't want this to happen. We solve this problem by coating it with some sort of protection. Stainless steel contains additives that oxidizes to form a thin, transparent layer of protection. In other cases we coat the iron in a layer of paint or oil.  This is why swords and fancy kitchen knives need to be oiled. We also coat iron with other metals that are more corrosion resistant like zinc, chromium, or nickle. When iron is hot, it it oxidizes more rapidly, but instead of rust it forms hematite which is bluish-black and doesn't flake like rust does.  This can serve as a protective layer against oxidation that causes rust.  The hematite is somewhat fragile so it is normally protected with a layer of oil.  This is known as "bluing", particularly when done to firearms, and "seasoning" a pan is similar except that the oil is heated to smoke point which causes it to harden into a sort of plastic.  Bluing and seasoning can get quite a bit more complicated. So, iron and its alloys are all light grey with a bit of variation, but most can be covered by black hematite as part of how we protect them from rust.	HHh[2][1]
qdtl27	What makes diamond so hard ? Please, demystify this for me.	Diamonds are hard because of their tight, interlocked atomic structure. Pure diamond is made up of carbon atoms only. Each carbon atom is bonded to four other carbon atoms tetrahedrally, with four sides. The carbon atoms are close together, forming a dense crystal. That structure can be repeated indefinitely, with strong bonds in four directions. Contrast this with graphite, which is also formed from carbon atoms. But in graphite the carbon is formed into layers, with weak forces between layers. This makes graphite soft and slippery, the opposite of diamonds. So it’s not the carbon that makes diamonds hard, but the tight multi-directional bonding between carbon atoms.  That bonding is created by perfectly balanced extreme heat and pressure over millions of years far underground. Geological events like volcanic eruptions then bring the diamonds to the Earth’s surface to be mined. Many diamonds have imperfections or flaws that weaken the structure. But the best are almost perfect crystals, with geometrically regular forms starting at the atomic level.  Humans have learned how to create artificial diamonds in labs. Lab-grown diamonds are chemically and physically no different from natural diamonds. Nearly all industrial grade diamonds are lab-grown.  Gem quality diamonds can also be produced in the lab, and to the naked eye there is no difference from natural diamonds. It takes special instruments to tell the difference. In fact, the way the instruments tell the difference is that artificial diamonds are too perfect, lacking the traces of nitrogen found in natural diamonds. It’s because of their nearly perfect geometry that if you hit them just right you can cut diamonds. But you can’t scratch them except with other diamonds. And diamond grains are used by industry to grind the hardest surfaces with minimal wear to the grinding tool.	think of a human link...  you put 2 humans arm-linked together, easy for you to break the link between them.   but what if you have 4 of them linked? still technically easy to reach in between the arms and break the link.   but what if you shove them tightly together.   then it makes it much harder to try and separate them cuz they're jam packed together.    there you go	HHH[5][0]
quqkzy	Why do medications for things like ADHD or other disorders that are just chemical imbalances in the brain have side-effects? Why can't they just supplement the missing chemical and leave it at that, not causing side effects? 	The chemical imbalance theory is simply a theory. Medical doctors still have no idea why we get depressed   They’re basically throwing poop at the wall and hoping it sticks. That’s the truth of it.	Not all chemicals just go into your bloodstream as-is (unless specifically injected into the bloodstream.) For example, we can't just drink a little vial of endorphins and get happy feelings. This can happen for a variety of reasons like but not limited to: * The digestive system destroys the chemical. * The digestive system can't absorb the chemical. * The chemical reacts with too many things in food to stay intact. So we have to find another chemical that can get absorbed properly and causes changes to the body that increase the production of the chemical we want. But *those* changes aren't necessarily limited to just producing the chemical we want, sometimes it causes other changes to the body we don't really want.  A lot of medical treatments involve tradeoffs. Sometimes it's worth increased risk of high blood pressure to be able to function more normally.	HHh[990][-1]
rnrobi	the half life of uranium-238 I see this text in a lot of proving earths age posts. <br />&gt;The half-life of uranium-238 is 4.5 billion years. It decays into radium-226, which in turn decays into radon-222. Radon-222 becomes polonium-210, which finally decays into a stable nuclide, lead.<br />I fully believe earth is 4.5 billon years old. But using this example, wouldn’t earth need to be *older than that* in order to have time for uranium-238 to decay all the way down to lead? I feel like no one is ever worried we’re going to run out of lead as a resource.	It takes 4.5 billion years for there to be a 50% chance of a given uranium atom to decay. Some will decay faster.	The half-life of uranium-238 is 4.5 billion years. This means that it takes 4.5 billion years for half of the uranium-238 atoms to decay into radium-226. Radium-226 then decays into radon-222, which in turn decays into polonium-210. Finally, polonium-210 decays into a stable nuclide, lead.  So, if the earth is 4.5 billion years old, then all of the uranium-238 would have decayed into lead. However, we still have plenty of lead on earth, which means that the earth must be older than 4.5 billion years.	HMH[9]
odrskv	When you get a roll of tape, the tape is rolled and stuck on top of itself. So how does it not lose its stickiness then? And how does the stickiness instantly fades away when you stick it to something else and then peel of off? 	The roll of tape is sticky because it is coated with an adhesive. The adhesive is a substance that helps two surfaces stay together. The adhesive on the tape is designed to stick to itself and to other surfaces. When you peel the tape off of something, the adhesive is left behind on the surface.	There are 2 ways in which things are considered sticky. The primary being chemical and secondary being physical. Physical is a whole other subject as it deals with low level interactions of molecules (IE Gecko Tape). The one most people are familiar with is chemical and is why tape has that very distinct "tack" when you touch it.  The tack forms due to a reaction between the glue on the tape and the surface of whatever your trying to stick it too. When a roll of tape is rolled up, the backside has been given great care to ensure its cleaned and may sometimes be coated in a way that slows down the reaction of the glue.  While this has allowed the creation of very powerful adhesives there is many downsides to making tape that adheres stuff chemically. One of the main ones being that once the reactants in the glue have been used up, the tape is nothing more than the backing that was holding the glue in the first place. Tape is considered to have a shelf life for this very reason as common things that drive chemical reactions such as oxygen, heat, and time will cause parts of the tape to break down. This results in the tape prematurely adhering to the backing, the tack being less effective and why that edge on the tape can be hard to find. The glue has reacted with the air and bonded partially to the tape backing	HMM[50]
pz2ox6	how comes nobody is able to figure out the contents of things like Coca Cola syrup with all our current technologies at hand? 	Secret recipes are really a rarity, unless theres an ingredient that is not and can not be reproduced by any other entity on the planet, everything can be reverse engineered and figured out. But with that you run into things like: Why are you putting so much effort into reverse-engineering a food? And You’ll receive a cease and desist letter PDQ if you’re infringing on someones registered intellectual property.	It is difficult to figure out the contents of Coca Cola syrup because the syrup is a complex mixture of substances. The syrup contains water, sweeteners, colorings, and other ingredients. The exact proportions of these ingredients are proprietary information that Coca Cola does not disclose. Furthermore, the ingredients interact with each other in complex ways, making it difficult to identify all of the components of the syrup. Our current technologies are not able to fully analyze complex mixtures like Coca Cola syrup.	HMH[8]
qawc9o	how do epi shots work? How are they effective against all alergies regardless of what food/thing causes the allergy?	Anaphylactic reactions to an allergen causes the blood vessels in your body to dilate, or get really wide. This swelling can close off the airway which is usually what kills people. Epinephrine causes blood vessels to constrict massively, allowing the person to breath easier. I’ll add that the epi is very short acting, like 10-15 minutes. So it only provides a window to give the person additional care, Benadryl and a trip to the ER are the next steps.	Anaphylaxis is a systemic allergic reaction that affects several organs:  Skin: hives and rash  Lungs: constriction of bronchi Airways: blood vessel dilation causing swelling  Blood pressure: vessel dilation reduces blood pressure.  Epi counteracts all of these conditions. It:  Opens up airways  reduces swelling  and increases blood pressure by acting in receptors located in the lungs and blood vessels.	HHH[7][1]
