q_id	question_text	answer1	answer2	deu_link
owkgdn	why are the ones responsible for instigating the Jan 6th insurrection not in jail? 	Proving an allegation of that level of severity would require a lot of strong evidence; if you jail someone over it before you have that evidence ready, you risk utterly botching the investigation or subsequent court proceedings and having the person walk away on technicalities. Given the number of defendants charged/arrested/facing trial/convicted, it's likely quite a few of them have been/will add more information through interrogation/interview that will potentially build up evidence as well. When you're talking about 500+ defendants, it's going to take a while to sort through everything they say and corroborate/disprove things.<br />This applies especially when the people concerned are high-ranking public figures are involved, or wealthy citizens who can afford top notch legal support, and when a misstep could end up further fueling political violence/extremism.<br />Federal prosecutors in particular tend not to file charges/order an arrest until they are absolutely certain a conviction will occur.	for the same reason almost no one from the BLM riots are in jail, its politically damaging to jail "dissidents" and can easily be spun into a rally call by the opposition.	HHH[3][-1]
odbphm	Why was prohibition of alcohol part of the constitution when other things have been federally outlawed without an amendment? Is there a reason prohibition could not have been a series of laws passed rather than being ratified into the constitution?	Rule 2.<br />Better to r/askanamerican or r/ask_lawyers about this.	Back then they followed the Constitution’s federalism framework. The feds didn’t have the power to ban something throughout the country through law. It had to be an amendment. Since then they’ve taken far more power, so they can ban other things today.	HHh[8][1]
r6cc2d	Prison sentences that go way beyond an average lifespan. I'm talking 100-1000 year sentence 	Several reasons<br />It sends a signal as to how severe the crime is. The justice system is telling us that this person did stuff bad enough to be incarcerated for more than the rest of their life.<br />It helps the victims and survivors to see that the crime against them has been recognized. If you have a single "life" sentence for someone that killed four people, the families of those four people are just seeing it as a single crime. However, 25 years for each adding to a hundred years in total acknowledges them as four individual crimes. There's perhaps a little more comfort in that, and a sense of justice served.<br />And it helps make more informed decisions about the possibility of parole or clemency in the future. Dude got a life sentence? Maybe 20 years served is enough. Dude got a 1000 year sentence? They ain't EVER getting out.	This is mostly an issue in states where prison sentences can stack upon each other. 5 years for three robberies make 15 years in total. This is not done in many states as far as I am aware. <br />E.g. most states in the european union take all charges known into a single court trial and get a prison sentence out covering all charges into one. <br />Also many european countries have a max-lifetime sentence which cannot be extend under normal circumstances. E.g. in germany its 15 years IIRC. Which is a fairly significant span of your life.<br />Because longer prison sentences do not stop crime in large, nor do they help with the reintegration of criminals into society. Something most modern justice systems try to achieve. Instead they just cost money, lead to overcrowed prisons and offer little to no benefit for society at large.	HHH[5][0]
qpa4a6	Theoretically, is there any limitations to stem cell treatment? Is it just so badass that it can cure everything or is there limitations that I don’t know?	We don't know.  Currently it can't cure anything.  There is a lot of thinking that it can do this or that or fix this or that or whatever, but none of it has really panned out yet.  <br />They've been talking about stem cells fixing spinal cord injuries for as long as I can remember, but so far, no fix.	There are a few potential limitations to stem cell treatment. First, stem cells can sometimes be difficult to obtain. Second, stem cells may not be effective for all types of diseases or conditions. Third, there is a risk that the stem cells may not integrate properly into the body. Finally, there is a risk of side effects associated with stem cell treatment.	HMH[6]
oceu2p	Why do some defendants appear in court all dressed up while others appear in prison uniforms? Clearly, those wearing prison garb are going to get treated differently.	As a general rule, defendants are allowed to change into proper attire when they attend court dates for the exact reasons you have mentioned - the jumpsuit is likely to be prejudicial to a jury.<br />However, those clothes are not provided by the state.  If a defendant is unable to acquire suitable clothing, they will appear as they are.	Rule 2.<br />Better to check r/answers or r/ask_lawyers.	HHH[50][1]
qbt9gg	why cant america just ban guns feels like it would solve alot of problems	There are a number of reasons why America cannot simply ban guns. First, there is the issue of the Second Amendment of the United States Constitution. The Second Amendment protects the right of Americans to keep and bear arms. This right has been interpreted by the Supreme Court to apply to individuals, and not just to militias. As a result, any attempt to ban guns would likely be unconstitutional.<br /><br />Second, there is the issue of enforcement. Even if guns were banned, there would still be a black market for them. It would be very difficult to enforce a ban on guns, and there would likely be a lot of violence associated with the black market.<br /><br />Third, there is the issue of self-defense. Many people believe that they have a right to defend themselves and their families, and that banning guns would take away that right.<br /><br />Fourth, there is the issue of hunting. Hunting is a popular sport in America, and many people believe that banning guns would take away their ability to hunt.<br /><br />Finally, there is the issue of politics. The gun lobby is very powerful in America, and any attempt to ban guns would likely face a lot of opposition.	For the same reason you can’t ban free speech.  It is a constitutional freedom that was designed to be difficult dismantle.	HMM[6]
pisba0	Why criminals need to throwing away the guns after committing a serious crime 	The act of disposing of a weapon can be an attempt to distance oneself from a crime.  If the police see that someone was killed with a specific type of handgun, and then through their investigation, they discover that you have that handgun in your possession, it's a huge help towards solving the crime and prosecuting the criminal.  Disposing of the weapon could provide a means of deniability if the weapon is found, for example a criminal may say "Oh someone stole that gun from me a month ago and I haven't seen it since."  Plausible defense if the gun is found in a lakebed, not so much if it's found in your sock drawer.	There are a few reasons why criminals might choose to get rid of their guns after committing a serious crime. One reason is that it could help them avoid getting caught by the police. If the police find the gun at the crime scene, they could use it to trace the gun back to the owner and then to the criminal. Another reason is that it could help the criminal avoid getting caught with the gun in their possession. If the police stop the criminal and find the gun, they could arrest the criminal for possession of a firearm.	HMH[4]
pctia1	How can the Texas House Speaker ban the word “racism” from being used in a legislative session? Can he restrict the free speech of Texas’ House Members? Is this legal?	The Texas House Speaker can ban the word "racism" from being used in a legislative session by issuing a formal directive to House Members. This directive could state that the use of the word "racism" is prohibited in any official capacity during the session. House Members would then be required to adhere to this directive or face consequences, such as being removed from the session or being censured.<br /><br />The Speaker's ability to restrict the free speech of House Members is derived from the House's rules of order. These rules give the Speaker significant authority to regulate the conduct of Members and to enforce decorum in the chamber. While the Speaker's authority is not absolute, it is generally upheld by the House as long as the Speaker is acting in good faith and in the interest of maintaining order.<br /><br />The legality of the Speaker's actions would likely be challenged on the grounds that they violate the First Amendment right to free speech. However, the Supreme Court has held that the First Amendment does not protect all forms of speech, and that the government can place reasonable restrictions on speech in certain circumstances. It is possible that a court would find that the Speaker's actions are permissible under the First Amendment, although this is by no means certain.	Technically the floor of a congress is NOT a place with full freedom of speech. There is a system called "parliamentary rules" that dictates who can speak when and, often, what they are allowed to speak about. These rules are a little different for every lawmaking body, but there are some common ideas.<br />The House Speaker in Texas is able to set parliamentary rules so long as procedures are followed. That can include defining what counts as acceptable speech. The procedures to change the rules might require a vote, but if the vote passes then that's that.	HMM[8]
p44ew1	Why are sex offenders registered in the national registry, but other serious crimes like robbery and murder is not? 	it's mainly a political agenda to "protect the kids"  because kids being sexually abused is worse than kids being murdered.	Some sex offenders are very likely to reoffend. We should keep those folks locked up, but instead we decided to let them out (rape and sexual assault sentencing guidelines are ridiculously light).<br />Instead of increasing sentences, we decided to let these dangerous folks out, lump them together with less dangerous people guilty of things like indecent exposure while intoxicated, and put them on a list that prevents them from rejoining society in a meaningful way.<br />We should not have this list. Many of the people on it should still be in prison. Let out nonviolent drug felons to make room.	HHh[5][-1]
ok4stv	What is a filibuster? I keep hearing about it but I truly don’t understand what it means and why it’s such a big deal?	A filibuster is a parliamentary procedure where debate on a bill is extended, essentially preventing a vote from taking place. This can be done by any senator, and in the past, it was used as a way to stall civil rights legislation. Nowadays, it's often used as a tactic to delay or prevent a vote on a bill, or to force the Senate to reach a 60-vote supermajority.	Originally, senators debated bills or confirmations. A senator can speak as long as he wants in this debate, and in the past they spoke for days to delay a bill, even reading from a phone book to pass the time. That's a filibuster. The rest of the Senate can shut him up with 60 votes to allow debate to continue (cloture). The Senate could only consider one bill at a time, so this held up the entire work of the Senate, even stopped the people of the same party from getting their bills heard. Filibusters were very politically expensive and individually exhausting, so they didn't happen much. <br />Over the years this has evolved. Back in the 1970s the Democrats allowed two legislative tracks, making it less politically expensive. The number of filibusters shot up after that. It eventually involved into not having to actually speak, and now any senator can stall a bill simply by saying so. Filibusters are now politically cheap, so they happen all the time, any bill or confirmation that is in any way contentious.	HMM[3]
